0) High: 39.995; Low: 39.955; Close: 39.970 | 2023-05-25T17:03:00Z
1) High: 39.995; Low: 39.970; Close: 39.995 | 2023-05-25T17:04:00Z
2) High: 39.995; Low: 39.985; Close: 39.995 | 2023-05-25T17:05:00Z
3) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T17:06:00Z
4) High: 39.990; Low: 39.985; Close: 39.990 | 2023-05-25T17:07:00Z
5) High: 39.990; Low: 39.985; Close: 39.985 | 2023-05-25T17:08:00Z
6) High: 39.990; Low: 39.985; Close: 39.990 | 2023-05-25T17:09:00Z
7) High: 39.990; Low: 39.985; Close: 39.985 | 2023-05-25T17:10:00Z
8) High: 39.990; Low: 39.985; Close: 39.990 | 2023-05-25T17:11:00Z
9) High: 39.995; Low: 39.980; Close: 39.980 | 2023-05-25T17:12:00Z
10) High: 39.980; Low: 39.970; Close: 39.980 | 2023-05-25T17:13:00Z
11) High: 39.980; Low: 39.970; Close: 39.980 | 2023-05-25T17:14:00Z
12) High: 39.980; Low: 39.970; Close: 39.975 | 2023-05-25T17:15:00Z
13) High: 39.980; Low: 39.970; Close: 39.975 | 2023-05-25T17:16:00Z
14) High: 39.980; Low: 39.975; Close: 39.980 | 2023-05-25T17:17:00Z
15) High: 40.000; Low: 39.980; Close: 39.995 | 2023-05-25T17:18:00Z
16) High: 39.995; Low: 39.990; Close: 39.995 | 2023-05-25T17:19:00Z
17) High: 39.995; Low: 39.990; Close: 39.990 | 2023-05-25T17:20:00Z
18) High: 40.000; Low: 39.990; Close: 39.995 | 2023-05-25T17:21:00Z
19) High: 39.995; Low: 39.960; Close: 39.980 | 2023-05-25T17:22:00Z
20) High: 39.980; Low: 39.975; Close: 39.980 | 2023-05-25T17:23:00Z
21) High: 39.980; Low: 39.965; Close: 39.980 | 2023-05-25T17:24:00Z
22) High: 39.985; Low: 39.960; Close: 39.960 | 2023-05-25T17:25:00Z
23) High: 39.990; Low: 39.985; Close: 39.985 | 2023-05-25T17:26:00Z
24) High: 39.995; Low: 39.985; Close: 39.990 | 2023-05-25T17:27:00Z
25) High: 40.000; Low: 39.995; Close: 40.000 | 2023-05-25T17:28:00Z
26) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T17:29:00Z
27) High: 39.990; Low: 39.980; Close: 39.980 | 2023-05-25T17:30:00Z
28) High: 39.980; Low: 39.955; Close: 39.955 | 2023-05-25T17:31:00Z
29) High: 39.970; Low: 39.950; Close: 39.950 | 2023-05-25T17:32:00Z
30) High: 39.970; Low: 39.905; Close: 39.925 | 2023-05-25T17:33:00Z
31) High: 39.965; Low: 39.935; Close: 39.950 | 2023-05-25T17:34:00Z
32) High: 39.950; Low: 39.925; Close: 39.925 | 2023-05-25T17:35:00Z
33) High: 39.930; Low: 39.910; Close: 39.910 | 2023-05-25T17:36:00Z
34) High: 39.920; Low: 39.915; Close: 39.915 | 2023-05-25T17:37:00Z
35) High: 39.920; Low: 39.895; Close: 39.895 | 2023-05-25T17:38:00Z
36) High: 39.900; Low: 39.890; Close: 39.890 | 2023-05-25T17:39:00Z
37) High: 39.900; Low: 39.885; Close: 39.885 | 2023-05-25T17:40:00Z
38) High: 39.945; Low: 39.875; Close: 39.945 | 2023-05-25T17:41:00Z
39) High: 39.945; Low: 39.940; Close: 39.940 | 2023-05-25T17:42:00Z
40) High: 39.910; Low: 39.895; Close: 39.895 | 2023-05-25T17:43:00Z
41) High: 39.895; Low: 39.870; Close: 39.875 | 2023-05-25T17:44:00Z
42) High: 39.910; Low: 39.870; Close: 39.910 | 2023-05-25T17:45:00Z
43) High: 39.920; Low: 39.880; Close: 39.920 | 2023-05-25T17:46:00Z
44) High: 39.960; Low: 39.925; Close: 39.950 | 2023-05-25T17:47:00Z
45) High: 39.965; Low: 39.930; Close: 39.950 | 2023-05-25T17:48:00Z
46) High: 39.950; Low: 39.920; Close: 39.920 | 2023-05-25T17:49:00Z
47) High: 39.940; Low: 39.935; Close: 39.940 | 2023-05-25T17:50:00Z
48) High: 39.965; Low: 39.940; Close: 39.965 | 2023-05-25T17:51:00Z
49) High: 39.965; Low: 39.960; Close: 39.965 | 2023-05-25T17:52:00Z
50) High: 39.975; Low: 39.970; Close: 39.970 | 2023-05-25T17:53:00Z
51) High: 39.985; Low: 39.975; Close: 39.980 | 2023-05-25T17:54:00Z
52) High: 39.985; Low: 39.980; Close: 39.985 | 2023-05-25T17:55:00Z
53) High: 39.985; Low: 39.980; Close: 39.980 | 2023-05-25T17:56:00Z
54) High: 39.985; Low: 39.980; Close: 39.980 | 2023-05-25T17:57:00Z
55) High: 39.985; Low: 39.980; Close: 39.985 | 2023-05-25T17:58:00Z
56) High: 39.990; Low: 39.985; Close: 39.990 | 2023-05-25T17:59:00Z
57) High: 39.995; Low: 39.985; Close: 39.995 | 2023-05-25T18:00:00Z
58) High: 39.995; Low: 39.990; Close: 39.990 | 2023-05-25T18:01:00Z
59) High: 40.000; Low: 39.990; Close: 39.995 | 2023-05-25T18:02:00Z
60) High: 39.995; Low: 39.990; Close: 39.995 | 2023-05-25T18:03:00Z
61) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:04:00Z
62) High: 40.000; Low: 39.985; Close: 39.985 | 2023-05-25T18:05:00Z
63) High: 39.985; Low: 39.965; Close: 39.980 | 2023-05-25T18:06:00Z
64) High: 39.980; Low: 39.965; Close: 39.980 | 2023-05-25T18:07:00Z
65) High: 39.970; Low: 39.970; Close: 39.970 | 2023-05-25T18:08:00Z
66) High: 39.980; Low: 39.965; Close: 39.970 | 2023-05-25T18:09:00Z
67) High: 39.980; Low: 39.970; Close: 39.980 | 2023-05-25T18:10:00Z
68) High: 39.985; Low: 39.970; Close: 39.985 | 2023-05-25T18:11:00Z
69) High: 39.985; Low: 39.975; Close: 39.975 | 2023-05-25T18:12:00Z
70) High: 39.990; Low: 39.970; Close: 39.990 | 2023-05-25T18:13:00Z
71) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:14:00Z
72) High: 40.250; Low: 39.975; Close: 40.250 | 2023-05-25T18:15:00Z
73) High: 40.400; Low: 40.150; Close: 40.400 | 2023-05-25T18:16:00Z
74) High: 40.450; Low: 40.400; Close: 40.400 | 2023-05-25T18:17:00Z
75) High: 40.350; Low: 40.000; Close: 40.000 | 2023-05-25T18:18:00Z
76) High: 40.100; Low: 39.980; Close: 39.990 | 2023-05-25T18:19:00Z
77) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:20:00Z
78) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:21:00Z
79) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T18:22:00Z
80) High: 40.000; Low: 39.985; Close: 39.990 | 2023-05-25T18:23:00Z
81) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:24:00Z
82) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:25:00Z
83) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:26:00Z
84) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:27:00Z
85) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:28:00Z
86) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:29:00Z
87) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:30:00Z
88) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:31:00Z
89) High: 39.995; Low: 39.965; Close: 39.965 | 2023-05-25T18:32:00Z
90) High: 39.985; Low: 39.965; Close: 39.985 | 2023-05-25T18:33:00Z
91) High: 40.000; Low: 39.970; Close: 40.000 | 2023-05-25T18:34:00Z
92) High: 40.000; Low: 39.985; Close: 39.985 | 2023-05-25T18:35:00Z
93) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:36:00Z
94) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:37:00Z
95) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:38:00Z
96) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:39:00Z
97) High: 39.995; Low: 39.995; Close: 39.995 | 2023-05-25T18:40:00Z
98) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:41:00Z
99) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:42:00Z
100) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:43:00Z
101) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:44:00Z
102) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:45:00Z
103) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:46:00Z
